price,timestamp
70.30285,2022-05-22 04:00:00+00
72.61135,2022-05-24 04:00:00+00
73.12910,2022-05-25 04:00:00+00
73.0930,2022-05-26 04:00:00+00
70.67145,2022-05-27 04:00:00+00
74.36315,2022-05-30 04:00:00+00
73.58225,2022-05-28 04:00:00+00
73.58225,2022-05-29 04:00:00+00
75.04335,2022-05-31 04:00:00+00
76.77330,2022-06-01 04:00:00+00
67.29610,2022-06-06 04:00:00+00
67.31605,2022-06-02 04:00:00+00
67.31605,2022-06-03 04:00:00+00
67.31605,2022-06-04 04:00:00+00
67.31605,2022-06-05 04:00:00+00
68.40760,2022-06-07 04:00:00+00
69.39180,2022-06-08 04:00:00+00
70.0530,2022-06-09 04:00:00+00
77.42025,2022-06-10 04:00:00+00
73.91190,2022-06-13 04:00:00+00
73.34095,2022-06-11 04:00:00+00
73.34095,2022-06-12 04:00:00+00
72.59235,2022-06-14 04:00:00+00
84.28970,2022-06-15 04:00:00+00
99.81745,2022-06-16 04:00:00+00
96.04310,2022-06-17 04:00:00+00
98.01720,2022-06-20 04:00:00+00
98.15970,2022-06-18 04:00:00+00
98.15970,2022-06-19 04:00:00+00
102.26940,2022-06-21 04:00:00+00
106.82655,2022-06-22 04:00:00+00
107.28825,2022-06-23 04:00:00+00
65.60510,2022-01-04 05:00:00+00
65.60510,2022-01-03 05:00:00+00
65.60510,2022-01-02 05:00:00+00
65.60510,2022-01-01 05:00:00+00
102.26940,2022-06-21 04:00:00+00
106.82655,2022-06-22 04:00:00+00
107.28825,2022-06-23 04:00:00+00
112.4990,2022-06-24 04:00:00+00
117.74585,2022-06-30 04:00:00+00
128.57395,2022-07-05 04:00:00+00
116.26860,2022-07-01 04:00:00+00
109.1930,2022-06-27 04:00:00+00
108.47575,2022-06-25 04:00:00+00
108.47575,2022-06-26 04:00:00+00
115.16280,2022-07-04 04:00:00+00
114.72485,2022-07-02 04:00:00+00
114.72485,2022-07-03 04:00:00+00
109.14455,2022-06-28 04:00:00+00
109.94825,2022-06-29 04:00:00+00
132.08990,2022-07-06 04:00:00+00
138.74275,2022-07-07 04:00:00+00
147.88555,2022-07-08 04:00:00+00
129.18290,2022-07-11 04:00:00+00
128.55685,2022-07-09 04:00:00+00
128.55685,2022-07-10 04:00:00+00
125.12925,2022-07-12 04:00:00+00
112.09715,2022-07-15 04:00:00+00
132.11935,2022-07-13 04:00:00+00
89.81490,2022-07-18 04:00:00+00
89.34560,2022-07-16 04:00:00+00
89.34560,2022-07-17 04:00:00+00
111.55755,2022-08-02 04:00:00+00
116.58210,2022-08-04 04:00:00+00
124.54880,2022-08-05 04:00:00+00
111.71240,2022-08-03 04:00:00+00
111.96130,2022-08-08 04:00:00+00
112.76310,2022-08-06 04:00:00+00
112.76310,2022-08-07 04:00:00+00
97.51465,2022-07-19 04:00:00+00
103.86255,2022-07-20 04:00:00+00
113.71025,2022-08-09 04:00:00+00
110.29310,2022-07-21 04:00:00+00
115.67010,2022-08-10 04:00:00+00
124.75685,2022-08-11 04:00:00+00
123.87430,2022-07-22 04:00:00+00
123.87430,2022-07-22 04:00:00+00
127.47195,2022-08-12 04:00:00+00
111.83875,2022-07-25 04:00:00+00
108.75315,2022-07-23 04:00:00+00
108.75315,2022-07-24 04:00:00+00
133.12065,2022-08-15 04:00:00+00
133.48260,2022-08-13 04:00:00+00
133.48260,2022-08-14 04:00:00+00
139.95685,2022-08-16 04:00:00+00
108.68190,2022-07-26 04:00:00+00
142.73940,2022-08-17 04:00:00+00
127.10525,2022-07-27 04:00:00+00
139.03345,2022-08-18 04:00:00+00
131.52940,2022-07-28 04:00:00+00
124.06335,2022-07-29 04:00:00+00
112.05725,2022-08-01 04:00:00+00
110.06130,2022-07-30 04:00:00+00
110.06130,2022-07-31 04:00:00+00
154.06055,2022-08-19 04:00:00+00
165.775,2022-08-22 04:00:00+00
165.46720,2022-08-20 04:00:00+00
165.46720,2022-08-21 04:00:00+00
195.2440,2022-08-23 04:00:00+00
197.90685,2022-08-30 04:00:00+00
200.6780,2022-08-27 04:00:00+00
200.6780,2022-08-28 04:00:00+00
200.6780,2022-08-29 04:00:00+00
150.12565,2022-09-01 04:00:00+00
140.27415,2022-09-09 04:00:00+00
208.28465,2022-08-26 04:00:00+00
197.90685,2022-08-30 04:00:00+00
102.02335,2022-09-06 04:00:00+00
187.13195,2022-08-24 04:00:00+00
128.24430,2022-09-02 04:00:00+00
126.40890,2022-09-12 04:00:00+00
127.08245,2022-09-10 04:00:00+00
127.08245,2022-09-11 04:00:00+00
198.28590,2022-08-25 04:00:00+00
174.53780,2022-08-31 04:00:00+00
75.34640,2022-09-05 04:00:00+00
71.96535,2022-09-03 04:00:00+00
71.96535,2022-09-04 04:00:00+00
102.21810,2022-09-07 04:00:00+00
88.66445,2022-09-08 04:00:00+00
112.34605,2022-09-21 04:00:00+00
99.71105,2022-09-23 04:00:00+00
88.32815,2022-09-26 04:00:00+00
87.51780,2022-09-24 04:00:00+00
87.51780,2022-09-25 04:00:00+00
72.80135,2022-09-27 04:00:00+00
88.91715,2022-09-28 04:00:00+00
98.4675,2022-09-22 04:00:00+00
128.22245,2022-09-13 04:00:00+00
135.59445,2022-09-14 04:00:00+00
157.06540,2022-09-15 04:00:00+00
134.53805,2022-09-16 04:00:00+00
95.98705,2022-09-19 04:00:00+00
95.28215,2022-09-17 04:00:00+00
95.28215,2022-09-18 04:00:00+00
84.23935,2022-09-29 04:00:00+00
65.04460,2022-10-03 04:00:00+00
64.3625,2022-10-01 04:00:00+00
64.3625,2022-10-02 04:00:00+00
87.08460,2022-10-06 04:00:00+00
73.97840,2022-09-30 04:00:00+00
86.05195,2022-10-04 04:00:00+00
76.17955,2022-10-05 04:00:00+00
75.65325,2022-10-07 04:00:00+00
61.36335,2022-10-10 04:00:00+00
62.23735,2022-10-08 04:00:00+00
62.23735,2022-10-09 04:00:00+00
67.01965,2022-10-11 04:00:00+00
58.35945,2022-10-14 04:00:00+00
58.02790,2022-10-12 04:00:00+00
38.38475,2022-10-17 04:00:00+00
37.9715,2022-10-15 04:00:00+00
37.9715,2022-10-16 04:00:00+00
28.25110,2022-10-18 04:00:00+00
63.72220,2022-10-13 04:00:00+00
12.52195,2022-10-19 04:00:00+00
24.04260,2022-10-20 04:00:00+00
37.335,2022-10-21 04:00:00+00
34.02235,2022-10-26 04:00:00+00
31.98365,2022-10-27 04:00:00+00
28.26155,2022-10-24 04:00:00+00
24.79595,2022-10-22 04:00:00+00
24.79595,2022-10-23 04:00:00+00
27.99840,2022-10-31 05:00:00+00
20.35755,2022-10-29 04:00:00+00
20.35755,2022-10-30 05:00:00+00
25.97775,2022-10-28 04:00:00+00
19.54910,2022-10-25 04:00:00+00
23.10020,2022-11-01 05:00:00+00
18.98765,2022-11-02 05:00:00+00
45.29980,2022-11-03 05:00:00+00
83.10220,2022-11-15 05:00:00+00
89.38740,2022-11-16 05:00:00+00
85.78880,2022-11-18 05:00:00+00
83.10220,2022-11-15 05:00:00+00
75.42620,2022-11-17 05:00:00+00
47.75460,2022-11-04 05:00:00+00
87.32210,2022-11-21 05:00:00+00
87.86170,2022-11-19 05:00:00+00
87.86170,2022-11-20 05:00:00+00
84.98985,2022-11-22 05:00:00+00
93.53795,2022-11-23 05:00:00+00
97.08335,2022-11-29 05:00:00+00
107.51815,2022-11-30 05:00:00+00
39.45635,2022-11-07 05:00:00+00
40.24295,2022-11-05 05:00:00+00
40.24295,2022-11-06 05:00:00+00
98.99380,2022-11-24 05:00:00+00
124.91930,2022-12-01 05:00:00+00
91.43370,2022-11-25 05:00:00+00
83.07180,2022-11-28 05:00:00+00
81.97930,2022-11-26 05:00:00+00
81.97930,2022-11-27 05:00:00+00
43.27440,2022-11-08 05:00:00+00
40.49090,2022-11-09 05:00:00+00
39.27870,2022-11-10 05:00:00+00
50.20180,2022-11-11 05:00:00+00
46.93095,2022-11-14 05:00:00+00
45.03855,2022-11-12 05:00:00+00
45.03855,2022-11-13 05:00:00+00
124.91930,2022-12-01 05:00:00+00
122.90910,2022-12-05 05:00:00+00
122.04080,2022-12-03 05:00:00+00
122.04080,2022-12-04 05:00:00+00
120.26430,2022-12-06 05:00:00+00
127.9840,2022-12-07 05:00:00+00
140.85080,2022-12-08 05:00:00+00
123.83535,2022-12-09 05:00:00+00
125.24325,2022-12-13 05:00:00+00
133.83125,2022-12-12 05:00:00+00
131.43630,2022-12-10 05:00:00+00
131.43630,2022-12-11 05:00:00+00
86.64760,2022-12-21 05:00:00+00
70.30380,2022-12-23 05:00:00+00
70.30380,2022-12-23 05:00:00+00
70.30380,2022-12-23 05:00:00+00
70.30380,2022-12-23 05:00:00+00
70.30380,2022-12-23 05:00:00+00
118.93620,2022-12-02 05:00:00+00
122.90910,2022-12-05 05:00:00+00
122.04080,2022-12-03 05:00:00+00
122.04080,2022-12-04 05:00:00+00
120.26430,2022-12-06 05:00:00+00
127.9840,2022-12-07 05:00:00+00
140.85080,2022-12-08 05:00:00+00
123.83535,2022-12-09 05:00:00+00
133.83125,2022-12-12 05:00:00+00
